"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","question_order","slider_start","image_path","practiceTrial","practiceTrialNum","correct","slider_labels"
"true","false","[]","[]","[]","preload","0","135","0.0-0.0","zf3pb4n3kv","","","","","","","","","",""
"","","","","","html-button-response","1","2008","0.0-1.0","zf3pb4n3kv","1871","<div style='text-align:center; font-size:20px; line-height:25px; width: 1200px;'>
                Welcome to our experiment! <br>
                <br>At the bottom of this screen, you will see a button that says 'Begin Experiment.
                <br>Please only click that button when you are ready to complete the 25 minute experiment in one sitting. <br>
                <br> Once you click that button, it will not be possible to restart the experiment. <br><br>","0","","","","","","",""
"true","","","","","fullscreen","2","4836","0.0-2.0","zf3pb4n3kv","1809","","","","","","","","",""
"","","","","","survey-multi-select","3","11098","0.0-3.0","zf3pb4n3kv","6255","","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","",""
"","","","","","html-button-response","4","13220","0.0-4.0","zf3pb4n3kv","2120","Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 25 minutes to complete both parts.","0","","","","","","",""
"","","","","","survey-text","5","22088","0.0-5.0","zf3pb4n3kv","8865","","{""Age"":""20"",""Gender"":""female"",""Race/ethnicity"":""asian""}","","","","","","",""
"","","","","","html-slider-response","6","31015","0.0-6.0","zf3pb4n3kv","8925","
                <div style='text-align:center; height: auto; margin-left=-100px; margin-bottom: -20px; font-size:20px; line-height:5px; width: 1200px;'>
                    <br>During this experiment, you will see a series of textures, one at a time, like the ones below: 
                </div>
                    <br>
                    <br>
                    <img src=""anchoring_visual_textures.png"" alt=""img"" style=""max-width:1200px; margin-left: -10px;"">
                </div>
                <div style=""clear: both;""></div>
                </div>
                    <div style='text-align:center; margin-left=-100px; font-size:20px; line-height:20px; width: 1200px; margin-top: -50px;'>
                    
                    <br> For each texture, you will be asked to rate where you think it falls on each of the response scales with the following endpoints:
                    </div>
                            <div style=""text-align: center; width: 1400px; "">
                                <p style=""font-size:20px; line-height:5px; ""><b>Blobby</b> versus <b>Stripey</b></p>
                                <p style=""font-size:20px; line-height:5px; ""><b>Rounded</b> versus <b>Rectangular</b></p>
                                <p style=""font-size:20px;line-height:5px;""><b>Coarse</b> versus <b>Fine</b></p>
                                <p style=""font-size:20px;line-height:5px; ""><b>Rough</b> versus <b>Smooth</b></p>
                                <p style=""font-size:20px;line-height:5px; ""><b>Random</b> versus <b>Non-Random</b></p>
                                <p style=""font-size:20px;line-height:5px;""><b>Hard</b> versus <b>Soft</b></p>
                            </div>
                            <div style='text-align:center; font-size:20px; line-height:20px; width: 1400px;'>
                    
                    Each trial will include one texture and one response scale. You will be asked to make your rating by sliding the cursor along a slider response scale like the one below.
                    <br><br> Before beginning, please look at the textures and scales. For each scale, think about the texture you associate most with the left endpoint. When you see that texture for that response scale, please click near the left of the scale.
                    <br><br> Now, please think about the texture you associate most with the right endpoint of each scale. When you see that texture for that response scale, please click near the right of the scale. 
                    <br><br> If you think a texture is not strongly associated with either endpoint of the scale, please click near the midpoint of the scale. Please use the full range of the scale. 
                    <br><br> You will be asked to rate each texture for a given scale before moving on to the next scale.
                    <br><br> Please press the 'Continue' button for instructions on how to use the slider.                     <br><br>
                ","null","","0","visual_textures_anchoring.png","true","","",""
"","","","","","html-button-response","7","32315","0.0-7.0","zf3pb4n3kv","1299","<div style=""width:1200px; margin-top:-150px;""><p style=""text-align:center; font-size:24px;"">To move the slider, click and drag your cursor to the location of the scale where you would like to make your rating and then let go. <br><br> When you let go of the slider, your response will be recorded and the next trial will begin. <br><br><br>
                We are interested in your initial impressions of each texture and scale, so please go with your first intuition. <br><br>
                Before you begin the experiment, there will be four training trials for you to practice using the scale. <br><br><br><br></div>
                <div style=""width:1200px;""><p style=""text-align:center; font-size:20px;"">When you are ready to start the training trials, please click ""Continue"".</p></div>","0","","","","","","",""
"","","","","","html-slider-response","8","33905","0.0-8.0-0.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:25px;"">Please move the slider all the way to the <br> right endpoint of the scale</p>

                                </div>
                            </div>","-43","","0","","true","0","false",""
"","","","","","html-button-response","9","35214","0.0-8.0-1.0","zf3pb4n3kv","800","<p align='center'><b>Not quite!</b> The slider was not placed near the instructed locattion. Click on 'Continue' to try again. </p>","0","","","","","","",""
"","","","","","html-slider-response","10","38214","0.0-8.1-0.1","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:25px;"">Please move the slider all the way to the <br> right endpoint of the scale</p>

                                </div>
                            </div>","199","","0","","true","0","true",""
"","","","","","html-button-response","11","39863","0.0-8.1-1.1","zf3pb4n3kv","1143","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","","","","","","",""
"","","","","","html-slider-response","12","41351","0.0-9.0-0.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:25px;"">Please move the slider all the way to the <br> left endpoint of the scale</p>

                                </div>
                            </div>","-197","","0","","true","1","true",""
"","","","","","html-button-response","13","42895","0.0-9.0-1.0","zf3pb4n3kv","1037","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","","","","","","",""
"","","","","","html-slider-response","14","51250","0.0-10.0-0.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:25px;"">Please move the slider halfway between the center and right endpoint of the scale</p>

                                </div>
                            </div>","101","","0","","true","2","true",""
"","","","","","html-button-response","15","52389","0.0-10.0-1.0","zf3pb4n3kv","627","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","","","","","","",""
"","","","","","html-slider-response","16","53953","0.0-11.0-0.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:25px;"">Please move the slider halfway between the center and left endpoint of the scale</p>

                                </div>
                            </div>","-102","","0","","true","3","true",""
"","","","","","html-button-response","17","55261","0.0-11.0-1.0","zf3pb4n3kv","806","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","","","","","","",""
"","","","","","html-button-response","18","55952","0.0-12.0","zf3pb4n3kv","690","<div style=""width:800px; margin-top:-300px;""><p style=""text-align:center; font-size:22px; line-height:25px;""""> Great job! You've completed the practice trials.</div>
                     <div style=""width:800px; margin-top:-20px;""><p style=""text-align:center""><br><br> In the following trials, you will be asked to rate textures on each scale one-by-one. <br> You will be given opportunities to take breaks when you have completed each block of trials. There are six total blocks of trials. <br><br> Please click continue to begin the main task.<br><br><br> </div>","0","","","","","","",""
"","","","","","html-button-response","19","56756","0.0-13.0","zf3pb4n3kv","803","In the following trials, you will be asked to rate textures on the scale <b>Blobby</b> versus <b>Stripey</b>. Please click 'Continue' when you are ready proceed.","0","","","","","","",""
"","","","","","html-slider-response","20","59127","0.0-14.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D83.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","152","","0","images/D83.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","21","61440","0.0-15.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D77.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","3","","0","images/D77.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","22","63280","0.0-16.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D57.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-58","","0","images/D57.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","23","65790","0.0-17.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D92.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-49","","0","images/D92.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","24","67882","0.0-18.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D85.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","194","","0","images/D85.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","25","69506","0.0-19.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D35.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-159","","0","images/D35.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","26","71105","0.0-20.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D56.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-57","","0","images/D56.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","27","72351","0.0-21.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D53.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-121","","0","images/D53.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","28","73373","0.0-22.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D29.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-121","","0","images/D29.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","29","74359","0.0-23.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D4.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-121","","0","images/D4.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","30","75464","0.0-24.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D19.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-121","","0","images/D19.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","31","77591","0.0-25.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D87.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","12","","0","images/D87.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","32","79456","0.0-26.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D84.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","40","","0","images/D84.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","33","82467","0.0-27.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D102.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","1","","0","images/D102.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","34","85245","0.0-28.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D32.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-122","","0","images/D32.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","35","87071","0.0-29.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D48.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-158","","0","images/D48.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","36","88100","0.0-30.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D80.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-153","","0","images/D80.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","37","89057","0.0-31.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D3.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-141","","0","images/D3.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","38","90232","0.0-32.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D24.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-142","","0","images/D24.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","39","92101","0.0-33.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D17.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","184","","0","images/D17.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","40","94232","0.0-34.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D18.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-127","","0","images/D18.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","41","95498","0.0-35.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D101.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-127","","0","images/D101.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","42","98123","0.0-36.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D96.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","2","","0","images/D96.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","43","99468","0.0-37.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D64.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","2","","0","images/D64.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","44","101654","0.0-38.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D55.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-22","","0","images/D55.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","45","103874","0.0-39.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D103.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-100","","0","images/D103.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","46","107255","0.0-40.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D6.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-100","","0","images/D6.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","47","108447","0.0-41.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D75.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-94","","0","images/D75.png","","","","[""Blobby"",""Stripey""]"
"","","","","","html-slider-response","48","109420","0.0-42.0","zf3pb4n3kv","NaN","<div style=""width:500px;"">
                                <p style=""font-size:50px; font-weight:bold;""
                                ></p>
                                <div style=""width:240px; margin: auto;"">
                                    <img src=""images/D78.png"" style= ""width:200px""alt=""img"">
                                </div>
                            </div>","-87","","0","images/D78.png","","","","[""Blobby"",""Stripey""]"
